,Title,Artist(s),Year
0,"""Call Me""",Blondie,1980
1,"""Another Brick in the Wall, Part II""",Pink Floyd,1980
2,"""Magic""",Olivia Newton-John,1980
3,"""Rock with You""",Michael Jackson,1980
4,"""Do That to Me One More Time""",Captain & Tennille,1980
5,"""Crazy Little Thing Called Love""",Queen,1980
6,"""Coming Up""",Paul McCartney,1980
7,"""Funkytown""",Lipps Inc,1980
8,"""It's Still Rock and Roll to Me""",Billy Joel,1980
9,"""The Rose""",Bette Midler,1980
10,"""Escape (The Piña Colada Song)""",Rupert Holmes,1980
11,"""Cars""",Gary Numan,1980
12,"""Cruisin""",Smokey Robinson,1980
13,"""Working My Way Back to You/Forgive Me, Girl""",The Spinners,1980
14,"""Lost in Love""",Air Supply,1980
15,"""Call Me""",Blondie,1981
16,"""Another Brick in the Wall, Part II""",Pink Floyd,1981
17,"""Magic""",Olivia Newton-John,1981
18,"""Rock with You""",Michael Jackson,1981
19,"""Do That to Me One More Time""",Captain & Tennille,1981
20,"""Crazy Little Thing Called Love""",Queen,1981
21,"""Coming Up""",Paul McCartney,1981
22,"""Funkytown""",Lipps Inc,1981
23,"""It's Still Rock and Roll to Me""",Billy Joel,1981
24,"""The Rose""",Bette Midler,1981
25,"""Escape (The Piña Colada Song)""",Rupert Holmes,1981
26,"""Cars""",Gary Numan,1981
27,"""Cruisin""",Smokey Robinson,1981
28,"""Working My Way Back to You/Forgive Me, Girl""",The Spinners,1981
29,"""Lost in Love""",Air Supply,1981
30,"""Bette Davis Eyes""",Kim Carnes,1982
31,"""Endless Love""",Diana Ross & Lionel Richie,1982
32,"""Lady""",Kenny Rogers,1982
33,"""(Just Like) Starting Over""",John Lennon,1982
34,"""Jessie's Girl""",Rick Springfield,1982
35,"""Celebration""",Kool & the Gang,1982
36,"""Kiss on My List""",Hall & Oates,1982
37,"""I Love a Rainy Night""",Eddie Rabbitt,1982
38,"""9 To 5""",Dolly Parton,1982
39,"""Keep on Loving You""",REO Speedwagon,1982
40,"""Theme from The Greatest American Hero (Believe It or Not)""",Joey Scarbury,1982
41,"""Morning Train (Nine to Five)""",Sheena Easton,1982
42,"""Being with You""",Smokey Robinson,1982
43,"""Queen of Hearts""",Juice Newton,1982
44,"""Rapture""",Blondie,1982
45,"""Physical""",Olivia Newton-John,1983
46,"""Eye of the Tiger""",Survivor,1983
47,"""I Love Rock 'n Roll""",Joan Jett & The Blackhearts,1983
48,"""Ebony and Ivory""",Paul McCartney and Stevie Wonder,1983
49,"""Centerfold""",The J. Geils Band,1983
50,"""Don't You Want Me""",The Human League,1983
51,"""Jack & Diane""",John Cougar,1983
52,"""Hurts So Good""",John Cougar,1983
53,"""Abracadabra""",Steve Miller Band,1983
54,"""Hard to Say I'm Sorry""",Chicago,1983
55,"""Tainted Love""",Soft Cell,1983
56,"""Chariots of Fire""",Vangelis,1983
57,"""Harden My Heart""",Quarterflash,1983
58,"""Rosanna""",Toto,1983
59,"""I Can't Go for That (No Can Do)""",Hall & Oates,1983
60,"""Every Breath You Take""",The Police,1984
61,"""Billie Jean""",Michael Jackson,1984
